CountryCode,Year,T0-4,T5-9,T10-14,T15-19,T20-24,T25-29,T30-34,T35-39,T40-44,T45-49,T50-54,T55-59,T60-64,T65-69,T70-74,T75+,TTotal,M0-4,M5-9,M10-14,M15-19,M20-24,M25-29,M30-34,M35-39,M40-44,M45-49,M50-54,M55-59,M60-64,M65-69,M70-74,M75+,MTotal,F0-4,F5-9,F10-14,F15-19,F20-24,F25-29,F30-34,F35-39,F40-44,F45-49,F50-54,F55-59,F60-64,F65-69,F70-74,F75+,FTotal
AFG,2000,0.111849908,0.157974036,0.211298434,0.309269733,0.462522415,0.615255541,0.729660933,0.813159876,0.809928237,0.770467832,0.706053722,0.762607374,0.757712878,0.561339465,0.327132682,0.553867996,0.377813884,0.124124699,0.171572497,0.221138289,0.309063141,0.45474075,0.629225665,0.785598439,0.919238072,0.946370648,0.91591861,0.892616585,0.917431193,0.93307016,0.700176887,0.405972509,0.708445892,0.41411069,0.098976224,0.143660253,0.200665237,0.309495243,0.471096268,0.600047269,0.669263443,0.698808416,0.663983035,0.617420569,0.5316061,0.603661451,0.586191162,0.430991874,0.251691278,0.421430104,0.339281455
AFG,2017,0.319240379,0.308871573,0.298744689,0.254663065,0.298419699,0.403334708,0.487795994,0.552597873,0.627597108,0.684870134,0.688879056,0.658268598,0.552042226,0.235822107,0.143254151,0.17549826,0.376053182,0.314205709,0.293677195,0.272073678,0.22669438,0.267584163,0.368706702,0.466867713,0.546543943,0.633835157,0.708399215,0.719854011,0.7003031,0.620033249,0.270688718,0.168500826,0.2034588,0.3644915,0.324563067,0.324828481,0.326867836,0.284414581,0.33143507,0.441143874,0.510630629,0.559262861,0.620597475,0.658938311,0.655358081,0.614228431,0.483479876,0.204388338,0.121414267,0.152259672,0.388346447
AFG,2010,0.11293689,0.138421336,0.195061747,0.2905206,0.40666347,0.505742668,0.611845113,0.71599742,0.794130608,0.832728545,0.8574369,0.872585775,0.689977208,0.405513377,0.254015807,0.423975681,0.354981798,0.125307115,0.148762327,0.202520084,0.297273135,0.417661569,0.533944824,0.657822765,0.79016486,0.900921325,0.962615468,1.00740749,1.038233703,0.873895311,0.485832176,0.313406977,0.536970823,0.389986492,0.099964341,0.127517187,0.187151202,0.283350404,0.394885835,0.47587727,0.561415076,0.634080644,0.677470118,0.692713253,0.700581928,0.70311152,0.524394263,0.328792553,0.200368838,0.330283749,0.317997137
AFG,2005,0.10594549,0.14123432,0.201660096,0.279166585,0.382570665,0.509141151,0.637814724,0.734275746,0.786676772,0.784211421,0.772374798,0.760056911,0.750313327,0.456760908,0.291267754,0.473258813,0.348213886,0.116922917,0.15187586,0.21133945,0.283106178,0.384204713,0.515649603,0.672464446,0.810358423,0.896727346,0.912424515,0.90692199,0.950237865,0.901715757,0.553886671,0.365121437,0.595140432,0.379929566,0.094301217,0.129929955,0.191441726,0.274938206,0.380785752,0.501750156,0.598439714,0.649278102,0.665614586,0.645958039,0.629724179,0.582102818,0.59774434,0.363498435,0.224319686,0.36895187,0.314224211
AGO,2015,2.70354573,0.489238825,0.736204131,1.278808827,2.241229733,3.125522683,3.693136409,3.884640308,4.076093623,4.215459649,3.849623761,3.638951768,3.582200175,4.353743048,4.198462902,5.207838085,2.2691808,2.223130234,0.397069636,0.586400577,1.027908893,1.948547281,2.993039818,3.895870559,4.447470673,4.92048777,5.173779273,4.772141015,4.42842899,4.367980376,4.69111744,4.652616101,6.341050746,2.231175848,3.186821221,0.579924565,0.882157711,1.521080292,2.521180678,3.251561128,3.501088225,3.352713395,3.283450627,3.3269173,3.009516041,2.937391351,2.906506006,4.070470902,3.835921912,4.417444131,2.305708819
AGO,2017,2.481285736,2.290867481,1.311419027,0.57262548,0.957322565,1.629725154,2.44684738,3.051024997,3.440042124,3.746581285,3.839769702,3.724483385,3.458799168,4.057186893,5.01577538,6.304947804,2.143751217,2.089203496,1.903921653,1.072601446,0.472673885,0.852499855,1.593978954,2.627389906,3.547435312,4.206732631,4.654648994,4.817325104,4.588722414,4.275190264,4.460744744,5.648390942,7.75619844,2.10664514,2.876984275,2.673453954,1.544477467,0.669258437,1.057577537,1.663673553,2.276108995,2.582976603,2.720679782,2.904298032,2.948937029,2.955081619,2.756475718,3.719430545,4.50867825,5.279044275,2.179456055
AGO,2010,0.076993111,0.129251723,0.201992469,0.3033442,0.407584558,0.522368573,0.589203458,0.629598302,0.636872059,0.590545534,0.566240343,0.581172958,0.704152324,0.654904691,0.696036737,0.880851279,0.327564598,0.063587151,0.104982353,0.161000088,0.24350272,0.353012469,0.498501124,0.61897357,0.719585828,0.768846106,0.725373279,0.702917302,0.709163871,0.85306557,0.70791973,0.77319222,1.076010917,0.324609783,0.0903142,0.15298041,0.241708134,0.360986291,0.459948266,0.545146723,0.560858515,0.544442374,0.513218745,0.465881784,0.442300089,0.468167332,0.574680299,0.610698196,0.634723788,0.749198421,0.33039511
AGO,2005,0.072169618,0.127634031,0.204863545,0.298517983,0.414810086,0.513210272,0.568607508,0.569760661,0.537178177,0.503418751,0.487113903,0.653769829,0.642136417,0.653330336,0.737077404,0.854414344,0.313662541,0.061804895,0.107908408,0.170861967,0.246920041,0.361064683,0.496838111,0.61824596,0.671550535,0.660427182,0.62857927,0.616277183,0.813847007,0.790085462,0.737633627,0.865742985,1.075033781,0.316425762,0.082408971,0.146808054,0.237713891,0.34838213,0.466564569,0.528913392,0.521305339,0.473617419,0.421903326,0.387995296,0.370546666,0.510692259,0.514377567,0.583324952,0.637174113,0.711994869,0.311020815
AGO,2000,0.062793066,0.115270871,0.200484595,0.288380522,0.403018321,0.507093574,0.5070965,0.431607117,0.382304331,0.355388447,0.482697899,0.507069655,0.528860041,0.643875257,0.766741937,0.764919285,0.280446525,0.056952008,0.103358506,0.176927233,0.248843012,0.353346235,0.502998879,0.584859926,0.540835007,0.489399012,0.458856967,0.624670642,0.664415322,0.663680258,0.772717516,0.976620892,0.966765885,0.290867891,0.068540354,0.126815798,0.22331,0.326733138,0.451132811,0.511027345,0.433153659,0.32857517,0.282206395,0.260166815,0.352620786,0.367040661,0.412736315,0.539102933,0.613040242,0.635779932,0.270488643
AGO,1995,0.06018775,0.11965566,0.217430773,0.307289968,0.409762763,0.485484691,0.478699901,0.417123499,0.375279844,0.489657292,0.520580963,0.523106642,0.524691928,0.495095576,0.506493012,0.403879039,0.279017568,0.057013407,0.112069108,0.200990261,0.278035218,0.375182642,0.498670144,0.566761374,0.53423108,0.490850255,0.641722746,0.691510795,0.700400676,0.682445918,0.593243301,0.545487332,0.39611918,0.297689482,0.063298615,0.127022639,0.233409081,0.335834803,0.443309409,0.472856019,0.395138205,0.306712214,0.267255594,0.347143383,0.364107995,0.365207694,0.391287669,0.419503624,0.477979958,0.408835282,0.261177257
